"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Tests","0","6","2","0","1"
"","","Flashcards","0","1","5","0","0"
"","","Performance","0","1","2","0","0"
"","","StudyGuide","0","0","1","0","0"
"","","AddNewCourse","0","3","0","0","0"
"","","Streaks","0","0","2","0","0"
"","","FlashcardsLogic","0","0","11","0","0"
"","","Navigation","0","1","7","0","0"
"","","Study Guide","2","0","1","0","1"
"","","Checkboxes","0","0","5","0","0"
"","","StudyThis","1","0","2","0","0"
"","","Tests Bronze","0","4","1","0","0"
"","","Search","0","0","2","0","0"
"","","StripeModal","0","2","0","0","0"
"","","Mnemonic Cards","0","0","2","0","0"
"","","Profile","0","1","0","0","0"
